,Tweet_id,User,Content,Like_Count,Quote_Count,Reply_Count,Url,Date
62,1.6376E+18,onehundredmph,"Credit Suisse says $17 billion of its debt now worthless, angering bondholders https://t.co/hzsg7L3Jet",1,0,0,https://twitter.com/onehundredmph/status/1637603830140379137,2023-03-19 23:55:52+00:00
63,1.6376E+18,FortuneCatch,"So UBS is buying Credit Suisse 

While it provide temporary market relief 

Wait till the can of worms being opened 

https://t.co/QMwbtkidSg",0,0,0,https://twitter.com/FortuneCatch/status/1637603827997360135,2023-03-19 23:55:52+00:00
64,1.6376E+18,ISCOSEU,#UBS Agrees to Buy #CreditSuisse (CS) in Historic Deal to End Crisis https://t.co/B8K1hUQLrv,0,0,1,https://twitter.com/ISCOSEU/status/1637603826420137985,2023-03-19 23:55:52+00:00
65,1.6376E+18,georgeseahsg,A weekend of frantic negotiation leading to this UBS buying over Credit Suisse (all shares) deal worth USD $3.3 billions.,0,0,0,https://twitter.com/georgeseahsg/status/1637603826348769281,2023-03-19 23:55:52+00:00
66,1.6376E+18,Automobilnews1,UBS to buy Credit Suisse for $3.24bn in government-brokered deal | Banks ??EAST AUTO?NEWS https://t.co/AzliSam67b,0,0,0,https://twitter.com/Automobilnews1/status/1637603797953380353,2023-03-19 23:55:45+00:00
67,1.6376E+18,FurlaneGrant,"Move follows Swiss rescue of Credit Suisse and signals depth of concern over the global financial system
#banking #liquidity #dollar #canada https://t.co/vRoI85YkSR",1,0,0,https://twitter.com/FurlaneGrant/status/1637603794350665729,2023-03-19 23:55:44+00:00
68,1.6376E+18,heinrichste,"Thousands of British jobs at risk after Switzerland's largest bank UBS agrees to buy troubled rival Credit Suisse for $2bn: Swiss banks employ 11,000 staff in London with heavy cuts now feared
via https://t.co/jUBdu2d1wP https://t.co/VxDWA3Oygy",0,0,0,https://twitter.com/heinrichste/status/1637603759134998529,2023-03-19 23:55:36+00:00
69,1.6376E+18,PezouNews,"After UBS buys Credit Suisse, here&amp;#039;s where investors may focus next - https://t.co/4L85Rb0nhm https://t.co/9AHKc5XWas",0,0,0,https://twitter.com/PezouNews/status/1637603756387758080,2023-03-19 23:55:35+00:00
70,1.6376E+18,T0mjacques,Holders of $17bn of Credit Suisse bonds wiped out under UBS takeover https://t.co/tQvZ0sq9iD,1,0,0,https://twitter.com/T0mjacques/status/1637603744022921218,2023-03-19 23:55:32+00:00
71,1.6376E+18,ni17540437,"LONDON, March 19 (Reuters) Financial markets are poised for relief on Monday after UBS Group AG agreed to buy Credit Suisse Group AG (CSGN.S) in a rescue orchestrated by the state and major central banks announced a co-ordinated move to shore up liquidity in the financial system",0,0,0,https://twitter.com/ni17540437/status/1637603727342174210,2023-03-19 23:55:28+00:00
